frame,agents,grid_points_total,grid_points_tracked,background_pixels,median_dx_from_start,median_dy_from_start,median_speed_from_start,video_path
109,0,15225,248,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
110,0,15365,254,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
111,0,15512,263,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
112,0,15656,260,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
113,0,15801,262,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
114,0,15936,253,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
115,0,16076,257,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
116,0,16217,256,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
117,0,16362,260,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
118,0,16510,262,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
119,0,16664,264,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
120,0,16818,266,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
121,0,16971,264,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
122,0,17124,267,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
123,0,17282,269,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
124,0,17433,246,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
125,0,17586,254,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
126,0,17744,250,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
127,0,17896,249,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
128,0,18045,244,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
129,0,18200,250,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
130,0,18356,251,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
131,0,18509,250,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
132,0,18660,244,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
133,0,18809,243,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
134,0,18968,252,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
135,0,19122,250,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
136,0,19281,252,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
137,0,19444,257,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
138,0,19606,259,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
139,0,19761,255,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
140,0,19919,259,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
141,0,20074,258,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
142,0,20228,257,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
143,0,20385,258,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
144,0,20541,258,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
145,0,20697,262,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
146,0,20856,262,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
147,0,21012,261,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
148,0,21168,261,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
149,0,21324,263,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
150,0,21479,259,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
151,0,21636,267,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
152,0,21792,267,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
153,0,21945,263,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
154,0,22094,263,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
155,0,22245,263,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
156,0,22401,264,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
157,0,22544,256,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
158,0,22702,270,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
159,0,22854,269,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
160,0,23004,268,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
161,0,23150,270,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
162,0,23300,271,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
163,0,23457,272,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
164,0,23614,273,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
165,0,23765,271,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
166,0,23917,271,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
167,0,24069,267,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
168,0,24227,273,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
169,0,24384,272,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
170,0,24537,269,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
171,0,24686,268,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
172,0,24843,269,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
173,0,24998,270,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
174,0,25151,263,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
175,0,25307,262,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
176,0,25458,269,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
177,0,25605,262,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
178,0,25752,262,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
179,0,25902,267,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
180,0,26050,270,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
181,0,26197,269,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
182,0,26346,273,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
183,0,26492,275,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
184,0,26634,275,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
185,0,26786,280,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
186,0,26926,273,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
187,0,27076,278,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
188,0,27240,282,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
189,0,27396,273,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
190,0,27554,270,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
191,0,27708,271,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
192,0,27862,271,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
193,0,28016,278,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
194,0,28171,278,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
195,0,28328,280,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
196,0,28481,278,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
197,0,28638,285,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
198,0,28785,277,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
199,0,28930,280,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
200,0,29091,285,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
201,0,29246,283,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
202,0,29400,284,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
203,0,29555,287,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
204,0,29707,286,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
205,0,29861,286,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
206,0,30011,281,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
207,0,30162,281,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
208,0,30318,286,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
209,0,30470,282,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
210,0,30627,278,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
211,0,30787,282,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
212,0,30944,280,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
213,0,31102,281,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
214,0,31261,282,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
215,0,31414,283,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
216,0,31570,286,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
217,0,31723,285,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
218,0,31869,279,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
219,0,32016,282,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
220,0,32170,286,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
221,0,32314,282,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
222,0,32458,284,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
223,0,32602,285,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
224,0,32749,284,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
225,0,32891,282,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
226,0,33044,290,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
