frame,agents,grid_points_total,grid_points_tracked,background_pixels,median_dx_from_start,median_dy_from_start,median_speed_from_start,video_path
83,8,621,468,425377,-0.024261474609375,-0.0217742919921875,0.24882382154464722,generated_videos/surface_grid_3_traffic.mp4
84,9,621,466,422725,-0.034648895263671875,-0.0255279541015625,0.25845950841903687,generated_videos/surface_grid_3_traffic.mp4
85,8,623,467,425119,-0.03546142578125,-0.027482986450195312,0.2534017860889435,generated_videos/surface_grid_3_traffic.mp4
86,8,623,465,425221,-0.04388427734375,-0.032012939453125,0.25255340337753296,generated_videos/surface_grid_3_traffic.mp4
87,10,624,462,421870,-0.0347747802734375,-0.03450775146484375,0.2526574730873108,generated_videos/surface_grid_3_traffic.mp4
88,8,627,465,425251,-0.031524658203125,-0.0366363525390625,0.2571389377117157,generated_videos/surface_grid_3_traffic.mp4
89,8,629,466,425053,-0.03216552734375,-0.03510284423828125,0.2611020803451538,generated_videos/surface_grid_3_traffic.mp4
90,8,630,467,425348,-0.027618408203125,-0.031429290771484375,0.2697259485721588,generated_videos/surface_grid_3_traffic.mp4
91,8,630,467,424988,-0.026947021484375,-0.031982421875,0.25992241501808167,generated_videos/surface_grid_3_traffic.mp4
92,8,631,464,425053,-0.02611541748046875,-0.031097412109375,0.2786042094230652,generated_videos/surface_grid_3_traffic.mp4
93,8,633,465,424758,-0.023406982421875,-0.02679443359375,0.2673264145851135,generated_videos/surface_grid_3_traffic.mp4
94,8,633,465,424841,-0.0263671875,-0.02685546875,0.26613515615463257,generated_videos/surface_grid_3_traffic.mp4
95,8,633,465,425232,-0.0260009765625,-0.02728271484375,0.27204859256744385,generated_videos/surface_grid_3_traffic.mp4
96,8,635,465,425255,-0.02520751953125,-0.02288818359375,0.2625356614589691,generated_videos/surface_grid_3_traffic.mp4
97,8,635,464,425317,-0.025299072265625,-0.02117919921875,0.27489981055259705,generated_videos/surface_grid_3_traffic.mp4
98,8,637,466,425484,-0.02570343017578125,-0.021453857421875,0.27312636375427246,generated_videos/surface_grid_3_traffic.mp4
99,9,638,464,424840,-0.02146148681640625,-0.026357650756835938,0.26237255334854126,generated_videos/surface_grid_3_traffic.mp4
